player_id,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
1,4,0,0,35,29,3,32,29,34,1,0,0,182,15,16,48.4
2,1,0,0,1,1,0,0,0,1,0,1,0,43,3,1,75.0
3,7,0,0,28,27,3,51,10,30,1,0,0,167,20,15,57.1
4,3,0,0,35,45,20,21,4,15,5,0,0,66,70,42,62.5
5,5,0,0,43,23,0,153,24,33,0,0,0,166,26,18,59.1
6,5,0,0,46,59,12,15,20,16,2,1,0,90,38,27,58.5
7,0,0,0,12,21,5,196,9,25,0,0,0,99,6,9,40.0
8,5,0,0,31,31,0,76,23,33,0,0,0,119,37,29,56.1
9,2,0,0,27,11,1,21,13,22,1,2,0,74,20,17,54.1
10,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4
11,6,0,0,23,15,2,24,32,21,0,0,0,68,35,27,56.5
12,2,1,0,25,18,5,47,12,13,0,0,0,58,36,18,66.7
13,0,0,0,8,2,0,0,24,13,0,0,0,85,46,25,64.8
14,1,0,0,17,6,1,40,16,21,0,0,0,74,59,26,69.4
15,0,0,0,6,11,2,5,5,6,0,0,0,37,18,17,51.4
16,1,0,0,12,16,1,11,5,6,1,0,0,38,14,15,48.3
17,1,0,0,4,19,0,35,11,2,0,0,0,57,4,7,36.4
18,0,0,0,14,19,8,31,1,6,0,0,0,28,8,13,38.1
19,0,0,0,11,15,8,7,5,4,0,0,0,17,4,7,36.4
20,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
21,1,0,0,3,0,1,0,3,2,0,0,0,9,4,1,80.0
22,1,0,0,4,6,1,18,1,3,0,0,0,11,0,0,0.0
23,0,0,0,1,6,1,11,0,1,0,0,0,6,0,3,0.0
24,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0.0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
28,8,0,0,21,20,1,39,18,25,0,0,0,136,8,18,30.8
29,2,0,0,19,45,4,101,10,26,1,0,0,100,16,26,38.1
30,11,1,0,38,50,2,68,23,17,1,1,0,172,29,18,61.7
31,1,1,0,1,5,0,0,1,0,0,0,0,38,7,1,87.5
32,5,0,0,27,52,17,108,9,10,2,1,0,78,24,17,58.5
33,1,1,0,31,24,14,3,6,11,0,1,0,29,59,57,50.9
34,5,2,1,25,19,0,36,24,38,0,1,0,90,12,27,30.8
35,5,0,0,39,45,1,13,9,18,1,0,0,91,43,31,58.1
36,8,1,1,26,9,1,3,26,24,0,1,0,105,29,26,52.7
37,5,0,0,11,9,2,122,20,21,0,0,0,97,7,17,29.2
38,5,1,0,31,7,0,0,13,17,0,1,1,76,37,21,63.8
39,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0
40,5,0,0,27,8,0,0,10,20,0,0,0,62,35,18,66.0
41,1,0,0,9,2,0,1,14,15,1,0,0,59,23,17,57.5
42,5,0,0,22,21,2,28,10,14,0,0,0,74,14,18,43.8
43,2,0,0,18,26,1,32,12,19,0,0,0,78,13,19,40.6
44,1,0,0,7,12,7,20,6,7,0,0,0,59,9,17,34.6
45,2,1,0,8,12,2,1,1,4,0,0,0,20,17,15,53.1
46,3,0,0,10,11,0,4,11,8,0,0,0,41,11,6,64.7
47,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0
48,1,0,0,12,9,2,22,0,4,0,0,0,27,7,13,35.0
49,0,0,0,1,3,0,5,1,1,0,0,0,15,3,8,27.3
50,0,0,0,8,7,0,0,6,9,0,0,0,24,2,2,50.0
51,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
52,1,0,0,3,1,0,0,0,2,0,1,0,6,0,0,0.0
53,0,0,0,2,0,0,0,0,1,0,0,0,4,2,2,50.0
54,1,0,0,3,2,0,2,0,0,0,0,0,5,1,1,50.0
55,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,100.0
56,1,0,0,2,1,0,1,0,1,0,0,0,2,0,0,0.0
57,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,50.0
58,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,100.0
59,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,50.0
60,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,9,0,0,60,17,2,1,40,42,0,1,0,196,102,56,64.6
64,1,0,0,1,2,0,0,1,0,0,1,0,38,3,1,75.0
65,6,0,0,41,24,2,10,25,43,0,0,0,171,26,15,63.4
66,8,0,0,44,38,6,45,25,39,0,0,0,150,54,40,57.4
67,7,0,0,39,15,0,19,19,19,1,0,2,116,50,31,61.7
68,6,0,0,23,12,6,59,18,29,0,0,0,115,37,34,52.1
69,10,0,0,35,20,4,81,11,30,1,0,0,124,13,16,44.8
70,7,0,0,26,14,1,18,37,36,0,0,0,142,37,27,57.8
71,8,1,1,31,34,13,7,1,5,0,0,0,60,37,53,41.1
72,2,0,0,19,18,7,168,9,23,0,0,0,73,11,17,39.3
73,1,0,0,13,40,7,117,6,10,1,0,0,62,0,9,0.0
74,3,0,0,22,29,1,32,7,14,0,0,0,73,3,12,20.0
75,2,0,0,15,3,0,1,9,9,0,0,0,44,25,24,51.0
76,5,0,0,15,8,2,38,5,20,0,0,0,58,10,13,43.5
77,3,0,0,12,22,1,17,1,9,0,0,0,40,16,23,41.0
78,1,0,0,17,12,0,5,15,7,0,0,0,34,12,9,57.1
79,2,0,0,13,13,7,1,2,4,0,0,0,18,10,6,62.5
80,2,1,0,22,26,11,4,5,5,0,0,0,31,24,32,42.9
81,1,0,0,15,5,1,46,6,13,0,0,0,40,9,3,75.0
82,1,0,0,3,5,1,19,4,3,0,0,0,23,1,0,100.0
83,0,0,0,5,5,0,1,5,6,0,0,0,17,2,9,18.2
84,1,0,0,1,10,0,18,0,2,0,0,0,18,2,2,50.0
85,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
86,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0.0
87,0,0,0,3,1,0,1,1,1,0,0,0,4,1,0,100.0
88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
89,1,0,0,3,1,0,0,0,0,0,1,0,1,1,0,100.0
90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
94,5,0,0,17,11,0,6,57,24,0,1,0,171,92,55,62.6
95,8,0,0,43,33,0,17,40,46,0,0,0,177,35,25,58.3
96,3,0,0,48,10,4,5,57,32,0,2,0,160,79,38,67.5
97,10,0,0,43,24,3,16,40,43,0,1,0,164,35,27,56.5
98,5,0,0,53,23,4,115,10,24,0,1,0,144,26,32,44.8
99,3,0,0,21,9,2,97,22,14,0,1,0,165,48,35,57.8
100,0,0,0,1,2,0,0,0,0,0,1,0,39,7,1,87.5
101,4,0,0,29,20,1,9,21,32,0,0,0,151,34,32,51.5
102,1,0,0,17,46,6,44,7,20,0,0,1,90,37,34,52.1
103,5,0,0,26,15,2,76,5,20,0,0,0,99,9,13,40.9
104,3,0,0,19,7,6,9,16,17,0,0,0,119,36,29,55.4
105,4,0,0,28,32,10,67,9,13,1,0,0,89,18,21,46.2
106,1,0,0,28,27,8,6,4,9,0,0,0,32,21,34,38.2
107,1,0,0,12,31,3,81,2,6,0,0,0,67,7,11,38.9
108,0,0,0,1,0,0,0,0,0,0,1,0,22,2,0,100.0
109,5,0,0,13,20,1,33,7,17,2,0,0,53,28,24,53.8
110,5,0,0,16,3,0,34,4,5,0,1,0,33,17,11,60.7
111,6,1,1,17,3,0,8,13,8,0,0,0,53,17,14,54.8
112,3,0,0,17,9,2,0,11,12,0,0,0,53,31,14,68.9
113,1,0,0,4,4,1,13,3,3,0,0,0,30,4,1,80.0
114,2,0,0,13,7,2,1,1,1,1,0,0,8,14,14,50.0
115,0,0,0,6,14,1,31,1,2,0,0,0,18,6,7,46.2
116,0,0,0,1,4,1,6,0,0,0,0,0,6,5,5,50.0
117,0,0,0,2,1,0,2,1,2,0,0,0,7,1,2,33.3
118,1,0,0,4,2,0,12,1,4,0,0,0,4,0,2,0.0
119,0,0,0,2,1,1,1,0,3,0,0,0,13,3,1,75.0
120,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,100.0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
123,2,0,0,0,4,0,0,1,2,0,0,0,34,1,2,33.3
124,8,0,0,29,27,5,8,3,20,0,0,0,103,29,39,42.6
125,8,0,0,52,72,4,11,17,21,1,1,0,142,34,40,45.9
126,9,0,0,44,15,0,9,36,50,0,1,0,137,20,27,42.6
127,6,1,1,27,11,1,2,15,11,0,2,0,144,46,36,56.1
128,7,0,0,30,13,1,39,18,46,0,0,0,109,34,29,54.0
129,4,0,0,35,27,2,9,50,32,0,2,1,194,60,24,71.4
130,4,0,0,29,7,1,35,12,34,1,1,0,88,24,19,55.8
131,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7
132,1,0,0,10,18,1,1,16,29,0,0,0,136,29,28,50.9
133,7,1,1,16,58,2,86,13,22,1,0,0,112,8,7,53.3
134,4,0,0,29,57,7,47,10,15,0,0,0,106,7,16,30.4
135,2,0,0,17,41,14,100,8,14,0,0,0,69,16,17,48.5
136,4,0,0,16,18,2,4,7,10,0,0,0,30,17,22,43.6
137,2,0,0,12,0,2,59,5,6,0,0,0,31,16,13,55.2
138,0,0,0,11,9,0,13,7,16,0,0,0,46,4,13,23.5
139,2,0,0,11,11,3,22,4,10,0,0,0,30,22,12,64.7
140,0,0,0,3,6,0,9,6,8,0,0,0,21,9,5,64.3
141,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0
142,4,0,0,14,7,1,2,6,7,0,0,0,37,5,11,31.3
143,1,0,0,14,11,7,8,1,4,0,0,0,15,12,15,44.4
144,0,0,0,4,1,1,24,4,3,0,0,0,16,0,2,0.0
145,1,0,0,7,7,0,1,1,1,0,0,0,4,5,7,41.7
146,0,0,0,6,2,1,1,1,0,0,0,0,3,5,12,29.4
147,1,0,0,1,3,0,8,5,4,0,0,0,8,0,1,0.0
148,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,100.0
149,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0.0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
151,8,0,0,77,16,4,29,25,41,0,1,0,203,82,60,57.7
152,9,0,0,49,31,0,24,36,20,0,0,0,106,42,33,56.0
153,15,1,0,31,35,0,82,29,36,0,1,0,184,14,3,82.4
154,5,1,0,24,17,25,13,0,5,0,0,0,52,51,55,48.1
155,5,0,0,25,23,0,6,22,19,0,1,0,92,43,50,46.2
156,6,0,0,26,16,0,11,16,18,0,0,0,100,38,27,58.5
157,3,0,0,12,50,5,88,3,13,0,0,0,83,7,21,25.0
158,1,0,0,1,1,0,0,0,0,0,1,0,12,2,0,100.0
159,7,0,0,26,35,3,76,20,20,1,0,0,97,12,17,41.4
160,5,0,0,14,8,1,44,8,19,1,0,1,67,30,21,58.8
161,2,0,0,14,28,8,17,13,13,0,0,0,83,9,15,37.5
162,2,0,0,31,37,1,8,11,31,0,0,0,95,29,35,45.3
163,1,0,0,0,4,0,0,0,0,0,0,0,19,5,0,100.0
164,0,0,0,8,6,1,84,3,7,0,0,0,74,6,6,50.0
165,2,0,0,9,9,0,28,9,18,1,0,0,50,5,2,71.4
166,2,0,0,13,10,1,53,12,11,0,0,1,55,15,9,62.5
167,3,1,1,14,27,1,38,9,14,0,0,0,47,10,8,55.6
168,3,0,0,10,11,3,10,4,11,0,0,0,39,10,11,47.6
169,1,0,0,14,25,8,4,2,4,0,0,0,15,14,22,38.9
170,1,0,0,14,3,0,20,8,16,0,0,0,33,3,7,30.0
171,2,0,0,7,14,1,7,0,5,0,0,0,20,0,2,0.0
172,4,0,0,10,2,0,1,4,5,1,0,1,24,9,7,56.3
173,0,0,0,1,3,0,0,5,1,0,0,0,22,22,7,75.9
174,4,0,0,8,11,2,2,3,5,2,0,0,19,13,15,46.4
175,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5
176,2,0,0,6,3,0,4,0,1,0,1,0,5,1,2,33.3
177,0,0,0,3,0,0,1,0,2,0,0,0,3,0,1,0.0
178,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0
179,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.0
180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
181,3,1,0,24,10,4,44,29,31,0,1,0,154,32,33,49.2
182,3,0,0,30,36,4,57,27,45,0,0,0,139,15,16,48.4
183,0,0,0,0,7,0,0,0,0,0,0,0,36,3,0,100.0
184,7,0,0,16,23,6,150,7,20,0,0,0,140,10,19,34.5
185,3,1,0,26,34,0,42,21,15,0,1,0,120,12,25,32.4
186,9,0,0,34,19,1,1,29,18,0,0,0,120,76,54,58.5
187,8,0,0,29,79,7,71,21,16,1,0,0,77,11,12,47.8
188,4,1,1,21,23,1,8,20,14,0,0,0,109,29,43,40.3
189,8,0,0,22,31,14,7,5,9,2,0,0,34,14,28,33.3
190,4,1,0,16,20,1,56,12,18,0,0,0,72,5,16,23.8
191,4,0,0,8,6,0,11,6,8,0,0,0,71,9,17,34.6
192,3,0,0,39,13,2,11,18,36,0,0,0,75,3,16,15.8
193,2,0,0,34,31,20,15,2,10,0,0,0,51,71,64,52.6
194,5,0,0,24,6,0,0,12,9,0,1,0,74,23,24,48.9
195,6,0,0,38,16,0,20,23,28,0,0,0,99,11,9,55.0
196,8,0,0,17,8,0,31,17,12,0,0,0,105,6,4,60.0
197,3,0,0,17,24,3,29,4,3,0,0,0,41,4,7,36.4
198,2,0,0,14,9,3,18,17,14,0,0,0,72,14,13,51.9
199,8,0,0,32,7,2,5,12,17,0,0,0,66,34,36,48.6
200,7,1,1,19,13,0,28,9,13,0,0,0,50,13,7,65.0
201,0,0,0,0,1,0,0,1,0,0,0,0,10,2,0,100.0
202,4,0,0,13,19,4,20,3,12,0,0,0,49,2,10,16.7
203,3,0,0,2,2,0,0,0,1,0,2,0,44,1,0,100.0
204,4,0,0,30,23,0,0,27,21,0,1,0,108,111,28,79.9
205,6,0,0,20,35,1,54,14,13,0,0,0,120,14,17,45.2
206,8,0,0,43,14,1,221,14,28,0,0,0,95,8,12,40.0
207,8,0,0,36,13,1,5,28,45,0,0,0,133,49,55,47.1
208,2,0,0,18,47,0,21,18,30,1,0,0,141,7,7,50.0
209,2,0,0,26,15,3,64,10,21,0,0,0,114,26,29,47.3
210,13,0,0,31,11,0,13,28,9,0,0,0,94,40,36,52.6
211,2,0,0,14,19,2,66,17,29,0,0,0,100,16,17,48.5
212,1,0,0,21,36,1,39,12,18,0,0,0,77,61,48,56.0
213,6,0,0,24,26,4,7,2,14,1,0,0,47,22,58,27.5
214,5,0,0,16,15,5,11,2,11,1,0,0,59,15,22,40.5
215,5,0,0,26,24,0,34,9,11,0,0,0,60,31,39,44.3
216,4,0,0,14,38,0,42,17,15,0,3,0,124,24,20,54.5
217,2,0,0,37,7,21,6,0,8,1,0,0,49,53,70,43.1
218,1,0,0,8,34,6,46,2,5,0,0,0,44,7,3,70.0
219,0,0,0,17,24,0,20,2,2,0,0,0,65,56,42,57.1
220,0,0,0,14,22,5,4,1,3,2,0,0,14,38,39,49.4
221,2,0,0,8,7,1,4,2,2,0,0,0,34,13,22,37.1
222,0,0,0,13,6,1,24,1,6,0,0,0,26,1,4,20.0
223,0,0,0,7,8,0,19,5,3,0,0,0,34,4,2,66.7
224,1,0,0,8,4,0,15,2,9,0,0,0,42,2,3,40.0
225,0,0,0,3,6,0,17,5,4,0,1,0,9,4,7,36.4
226,0,0,0,2,1,0,0,0,0,0,2,0,8,0,0,0.0
227,0,0,0,4,5,1,8,2,0,0,0,0,12,3,2,60.0
228,1,0,0,3,1,0,0,1,1,0,0,0,2,1,5,16.7
229,1,0,0,3,2,0,0,0,1,0,0,0,6,1,0,100.0
230,1,0,0,1,0,0,0,1,1,0,0,0,5,8,3,72.7
231,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0
232,2,0,0,0,2,0,0,1,0,0,0,0,47,9,2,81.8
233,5,0,0,14,53,2,178,15,26,0,0,0,127,30,32,48.4
234,2,0,0,53,67,22,50,7,7,0,0,0,85,129,115,52.9
235,4,0,0,25,9,1,57,24,26,0,0,0,112,41,29,58.6
236,3,0,0,26,37,9,37,11,16,0,0,0,152,25,37,40.3
237,7,0,0,69,39,1,3,69,39,1,1,0,127,78,53,59.5
238,8,1,1,37,46,3,54,27,18,1,0,0,125,17,25,40.5
239,6,1,0,19,15,0,15,47,16,0,1,0,140,30,39,43.5
240,3,0,0,24,25,1,91,20,8,0,1,0,112,19,19,50.0
241,2,0,0,25,33,3,6,6,15,0,0,0,68,62,73,45.9
242,3,0,0,12,10,1,127,8,11,0,0,0,103,14,20,41.2
243,12,0,0,50,18,2,19,23,21,0,0,0,102,18,16,52.9
244,3,0,0,12,4,4,64,13,8,0,0,0,65,5,10,33.3
245,0,0,0,18,5,0,4,11,12,0,1,0,49,22,14,61.1
246,2,0,0,8,1,0,2,9,12,0,1,0,49,15,9,62.5
247,2,0,0,11,1,0,2,10,9,0,0,0,37,8,6,57.1
248,3,0,0,16,22,6,5,2,1,0,0,0,22,23,38,37.7
249,2,0,0,14,0,0,0,13,7,0,1,0,18,11,9,55.0
250,1,0,0,9,8,0,2,1,3,0,0,0,22,3,10,23.1
251,2,0,0,9,3,0,22,4,7,0,0,0,37,7,5,58.3
252,1,0,0,1,5,4,11,0,1,0,0,0,13,0,5,0.0
253,0,0,0,2,3,2,4,1,1,0,0,0,9,7,9,43.8
254,2,0,0,10,1,0,0,3,7,0,1,0,22,10,10,50.0
255,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
256,0,0,0,4,6,0,3,0,2,0,0,0,14,0,1,0.0
257,0,0,0,2,3,2,5,0,0,0,0,0,10,2,2,50.0
258,0,0,0,0,1,0,0,3,1,0,0,0,6,2,5,28.6
259,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.0
260,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,100.0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
262,4,0,0,33,41,0,3,30,39,0,0,0,236,11,23,32.4
263,6,0,0,28,37,5,126,24,36,0,0,0,141,27,39,40.9
264,2,0,0,41,38,3,20,28,33,0,0,0,174,46,45,50.5
265,8,0,0,25,80,4,99,13,21,2,0,0,99,11,20,35.5
266,0,0,0,0,3,0,0,0,0,0,0,0,53,4,1,80.0
267,2,1,0,11,38,2,135,15,8,1,0,0,91,3,12,20.0
268,5,0,0,19,7,2,4,20,27,0,1,0,140,79,46,63.2
269,7,0,0,28,9,0,0,23,19,0,1,0,112,47,47,50.0
270,1,0,0,15,18,0,89,9,15,0,0,0,87,6,11,35.3
271,6,1,1,31,31,35,14,2,5,3,0,0,40,37,47,44.0
272,3,0,0,12,12,1,2,16,12,0,0,0,78,58,25,69.9
273,3,0,0,9,17,1,27,20,29,0,0,0,101,37,30,55.2
274,0,0,0,17,19,5,65,3,10,0,0,0,53,7,18,28.0
275,7,1,1,16,28,1,62,15,15,0,1,0,57,10,27,27.0
276,7,0,0,29,11,1,6,4,24,0,1,0,46,15,17,46.9
277,3,1,1,13,6,0,5,8,10,0,0,0,39,25,23,52.1
278,3,0,0,12,13,6,6,1,4,1,0,0,21,21,22,48.8
279,0,0,0,0,1,0,0,1,1,0,0,0,12,2,0,100.0
280,1,0,0,4,7,1,7,2,2,0,0,0,20,1,5,16.7
281,0,1,0,9,7,0,14,1,2,0,0,0,21,12,7,63.2
282,2,0,0,7,6,1,6,2,3,0,0,0,19,1,6,14.3
283,2,0,0,6,4,2,12,2,3,0,0,0,15,1,4,20.0
284,2,0,0,2,10,1,20,0,3,0,0,0,16,4,2,66.7
285,1,0,0,3,1,0,3,1,1,1,0,0,15,1,3,25.0
286,0,0,0,7,4,0,7,0,2,0,0,0,6,1,1,50.0
287,1,0,0,1,2,0,3,0,1,0,0,0,8,1,0,100.0
288,1,0,0,3,0,0,2,1,1,0,0,0,2,0,2,0.0
289,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0
290,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
291,4,1,1,2,11,0,0,1,0,0,1,0,61,13,1,92.9
292,6,0,0,49,35,1,12,51,72,0,1,0,197,31,29,51.7
293,4,0,0,28,46,11,179,11,10,1,0,0,136,3,22,12.0
294,6,0,0,36,38,4,30,45,33,0,1,0,101,77,55,58.3
295,6,0,0,24,14,0,14,50,27,0,0,0,177,12,13,48.0
296,5,0,0,36,36,4,99,23,24,0,0,0,91,16,22,42.1
297,9,0,0,21,28,2,1,22,10,0,0,0,98,49,42,53.8
298,8,1,1,37,11,0,5,21,25,0,1,0,120,58,38,60.4
299,5,0,0,36,25,4,20,0,9,0,0,0,58,60,61,49.6
300,1,0,0,14,14,0,1,21,11,0,0,0,62,58,25,69.9
301,7,0,0,31,17,0,19,5,20,0,0,0,88,22,19,53.7
302,4,1,1,23,17,2,106,9,10,0,0,0,48,8,11,42.1
303,4,0,0,16,6,0,20,7,19,0,0,0,73,7,11,38.9
304,4,0,0,13,4,1,12,30,15,1,0,0,52,25,21,54.3
305,0,0,0,7,22,5,24,5,20,0,0,0,54,15,24,38.5
306,0,0,0,17,27,3,4,1,4,1,0,0,36,33,34,49.3
307,2,0,0,28,7,6,9,4,11,0,0,0,41,67,56,54.5
308,1,0,0,7,9,1,12,8,10,0,0,0,46,12,14,46.2
309,0,0,0,3,16,1,16,6,6,0,0,0,33,10,6,62.5
310,2,0,0,10,8,2,9,0,2,0,0,0,13,7,16,30.4
311,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
312,0,0,0,1,0,0,0,0,0,0,0,0,9,12,8,60.0
313,0,0,0,2,1,0,2,0,1,0,0,0,3,2,2,50.0
314,0,0,0,2,4,0,0,3,4,0,0,0,8,2,4,33.3
315,0,0,0,0,0,0,0,2,1,0,0,1,6,3,2,60.0
316,0,0,0,0,2,0,0,2,3,0,0,0,4,1,0,100.0
317,0,0,0,4,4,0,12,4,4,0,0,0,6,2,2,50.0
318,0,0,0,2,1,0,1,0,0,0,0,0,4,0,1,0.0
319,0,0,0,0,0,0,2,0,1,0,0,0,11,2,1,66.7
320,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,33.3
321,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0.0
322,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
325,5,1,1,28,44,1,19,27,25,0,1,0,188,32,33,49.2
326,1,0,0,23,44,2,111,14,15,0,0,0,86,9,25,26.5
327,0,0,0,0,4,0,0,1,0,0,0,0,33,6,1,85.7
328,7,0,0,37,9,0,4,37,25,0,1,0,98,41,20,67.2
329,5,0,0,26,21,1,8,31,30,0,1,0,140,46,36,56.1
330,3,0,0,22,28,6,89,2,7,2,0,0,72,40,48,45.5
331,7,1,1,24,17,1,4,29,14,0,1,0,58,30,23,56.6
332,7,0,0,30,32,1,54,18,19,0,0,0,77,8,6,57.1
333,3,0,0,15,14,2,84,13,10,0,1,0,71,12,20,37.5
334,9,0,0,32,26,1,3,27,17,0,0,0,81,19,20,48.7
335,2,0,0,29,14,4,53,9,18,0,1,0,56,7,9,43.8
336,5,1,1,18,13,1,7,14,34,0,1,0,77,27,20,57.4
337,1,0,0,12,5,1,21,17,22,0,0,0,56,21,17,55.3
338,3,0,0,25,24,6,2,0,12,0,0,0,35,19,64,22.9
339,9,0,0,31,19,0,2,6,22,0,1,0,70,10,7,58.8
340,2,0,0,23,26,1,1,0,5,0,0,0,29,86,40,68.3
341,2,0,0,21,20,3,14,7,15,0,0,0,60,4,13,23.5
342,3,0,0,11,3,1,37,4,13,0,0,0,41,5,6,45.5
343,5,0,0,15,5,0,1,12,11,0,1,0,29,5,7,41.7
344,2,1,1,18,13,0,31,3,10,0,0,0,40,2,10,16.7
345,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0.0
346,0,0,0,3,5,2,8,2,1,0,0,0,11,0,5,0.0
347,2,0,0,4,4,1,8,1,4,0,0,0,13,1,5,16.7
348,0,0,0,3,5,2,9,2,2,0,0,0,11,1,5,16.7
349,2,0,0,2,6,0,4,0,1,0,0,0,15,0,2,0.0
350,0,1,0,4,5,3,1,2,0,0,0,0,11,11,17,39.3
351,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0.0
352,2,0,0,1,0,0,4,0,0,0,0,0,2,0,2,0.0
353,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0
354,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
356,0,0,0,0,3,0,0,0,1,0,0,0,49,5,1,83.3
357,5,0,0,50,74,11,64,17,28,1,0,0,145,75,78,49.0
358,14,2,2,54,51,0,94,26,39,0,0,0,195,7,19,26.9
359,6,0,0,27,30,0,12,45,18,1,0,0,147,45,37,54.9
360,5,0,0,33,9,0,2,24,30,0,0,1,139,67,30,69.1
361,7,0,0,40,56,1,72,6,30,0,0,0,104,5,12,29.4
362,0,1,0,5,5,13,97,6,16,0,0,0,67,8,15,34.8
363,2,0,0,18,7,2,64,23,26,0,1,0,84,13,13,50.0
364,7,0,0,40,18,0,9,20,39,0,0,0,109,22,21,51.2
365,9,0,0,32,4,0,0,27,22,0,0,0,70,82,47,63.6
366,6,0,0,27,16,1,33,26,27,0,0,0,68,58,21,73.4
367,4,0,0,31,22,3,51,4,9,0,0,0,55,24,42,36.4
368,2,0,0,24,10,4,15,2,8,2,0,0,65,49,71,40.8
369,1,0,0,15,32,0,59,20,19,0,0,0,74,19,18,51.4
370,2,0,0,26,19,6,1,1,0,0,0,0,25,135,43,75.8
371,0,0,0,6,6,1,4,7,13,0,0,0,79,9,10,47.4
372,2,0,0,7,4,1,30,4,9,0,1,0,36,5,7,41.7
373,2,0,0,10,20,9,7,3,1,0,0,0,31,6,11,35.3
374,1,1,0,11,2,0,0,7,10,0,0,0,66,34,24,58.6
375,2,0,0,13,7,1,28,10,8,0,0,0,23,9,5,64.3
376,5,0,0,11,9,0,19,6,10,0,0,0,38,9,7,56.3
377,2,0,0,10,6,0,1,9,3,0,0,0,39,19,10,65.5
378,0,0,0,5,4,2,8,1,4,0,0,0,6,4,14,22.2
379,0,0,0,10,6,1,15,0,3,0,0,0,16,4,18,18.2
380,0,0,0,6,13,0,3,1,3,0,0,0,22,10,25,28.6
381,2,0,0,5,3,0,7,3,5,0,0,0,34,4,12,25.0
382,0,0,0,1,3,2,8,0,1,0,0,0,16,1,5,16.7
383,2,2,0,15,5,3,3,0,0,0,0,0,8,19,20,48.7
384,0,0,0,5,2,0,16,1,2,0,0,0,19,1,5,16.7
385,0,0,0,1,0,0,1,1,2,0,0,0,2,1,3,25.0
386,0,0,0,1,1,0,0,1,1,0,0,0,5,0,0,0.0
